PROVINCE,Case_Lag1,Case_Lag2,Case_Lag3,Case_ratio
Si Sa Ket,-0.285585661,0.105054702,0.035682434,0.156590627
Si Sa Ket,-0.608496875,-0.276375903,0.14713132,0.177004405
Si Sa Ket,-0.58002466,-0.600342831,-0.260293728,0.85110787
Si Sa Ket,0.360184409,-0.57177753,-0.606338956,1.137207875
Si Sa Ket,0.759223775,0.37150542,-0.575826934,0.217855283
Si Sa Ket,-0.5230477,0.771849389,0.431740617,0.088484974
Si Sa Ket,-0.703487565,-0.514614292,0.859367971,0.27910105
Si Sa Ket,-0.437624871,-0.695644079,-0.514768029,0.619534818
Si Sa Ket,0.037196774,-0.428912185,-0.708134971,1.633810065
Si Sa Ket,1.451862082,0.047461823,-0.423225335,2.709123211
Si Sa Ket,2.951660293,1.466752179,0.085613494,1.735385671
Si Sa Ket,1.593535149,2.971453768,1.601628289,0.639386189
Si Sa Ket,0.06488457,1.608888426,3.20887508,0.204034302
Si Sa Ket,-0.54232458,0.07524014,1.753451101,0.136020555
Si Sa Ket,-0.637187082,-0.533954194,0.1152849,0.217665901
Si Sa Ket,-0.523311842,-0.629126836,-0.535425943,0.224437885
Si Sa Ket,-0.513866584,-0.514879297,-0.637084588,0.081582483
Si Sa Ket,-0.713114848,-0.505403159,-0.515051095,0.129104943
Si Sa Ket,-0.646832667,-0.705302837,-0.504929159,1.121473222
Si Sa Ket,0.737277791,-0.638803956,-0.718451972,1.373252842
Si Sa Ket,1.088448634,0.749831655,-0.647421201,1.726808084
Si Sa Ket,1.581571518,1.102150602,0.835849732,1.835073141
Si Sa Ket,1.73257473,1.596885681,1.212179165,1.155201294
Si Sa Ket,0.784320182,1.748382578,1.740630371,0.645318183
Si Sa Ket,0.073158247,0.797027846,1.90245176,0.298906749
Si Sa Ket,-0.410000777,0.083540866,0.886262336,0.312490659
Si Sa Ket,-0.391054551,-0.401197777,0.124151319,0.278565726
Si Sa Ket,-0.438371516,-0.38218961,-0.393622195,0.346547436
Si Sa Ket,-0.343553697,-0.42966127,-0.373318624,0.22419849
Si Sa Ket,-0.514200481,-0.334533458,-0.424025471,0.26486612
